COMPANY NAME,Symbol,Company_Age,Log_Issue_Price,Range_Width_pct,Days_to_List,Revenue_CAGR,PAT_CAGR,Avg_Operating_Margin,Avg_ROE_pct,Avg_ROCE_pct,Avg_DE_pct,Avg_Interest_Coverage,Avg_Assets_Turnover,Log_Latest_Revenue
ACME Solar Holdings Limited,ACMESOLAR,-0.8135593220338984,-0.11534080602600652,-0.3802402988422207,-0.3333333333333333,-0.4489837221115965,0.848717445122769,3.4702770769872333,-0.5236396074933095,-0.8412217659137577,3.6997962063019285,-0.2829209205744938,-1.0102389078498293,0.2560829209333979
AGS Transact Technologies Limited,AGSTRA,0.06779661016949153,-0.5460150110370555,0.3948616413379159,1.3333333333333333,-0.8736188556627963,-0.4419134162990859,-0.3116313472463881,-2.0027302462628067,-0.6006103125712984,1.7663252686767354,-0.30787717982734414,-0.19546020911208636,-0.1136744439381617
ASK Automotive Limited,ASKAUTOLTD,1.0169491525423728,-0.13641243031635078,-0.06806618127871984,0.0,-0.07013628768484309,-0.11516788000309487,-0.28830904057803936,0.524937150271673,0.08198151950718681,-0.00556513560119125,0.3235277152909962,1.2546725174711524,0.6312134467967435
Aadhar Housing Finance Limited,AADHARHFC,0.8813559322033898,-0.04129500997858227,-0.5941205251612282,-0.3333333333333333,-0.03387788586777912,-0.000255811502483561,4.403695829360981,-0.04841456491768709,1.3805441478439424,3.4510633850655807,-0.24046836246178685,-0.9738339021615471,0.5369444375945174
Adani Wilmar Limited,AWL,0.2711864406779661,-0.31150248166656325,0.588358152174698,0.6666666666666666,-0.6550948089063232,-0.3736705147752936,-0.6614603317418227,-0.595491038845187,-0.16196098562628344,0.17805821184093656,-0.20678318048105204,2.437835202340321,2.7329532977362607
Aditya Birla Sun Life AMC Limited,ABSLAMC,0.6101694915254238,0.6604643849593631,-6.757896317071295,1.3333333333333333,-0.5779185146036917,-0.3071082839947501,3.49214244422491,0.8189927824182954,0.8977241615331966,-0.5523593039661389,7.586722039568553,-0.5707784820412807,0.11288614336104733
Aditya Infotech Limited,CPPLUS,0.5423728813559322,0.614509125596761,0.5047485487267043,-0.3333333333333333,0.24059579552415833,0.28179586971231296,-0.2577065006282064,1.1722488038277512,1.0945756331279946,0.4827559178554634,0.15348676241564294,0.5317731188038355,0.6376587052432536
Advance Agrolife Limited,ADVANCE,0.06779661016949153,-1.024954129565673,0.023993328900743828,-0.3333333333333333,0.2522954794869688,0.26961384523292464,-0.35159221781308175,0.7704971210769607,0.9713723477070502,0.14370068453780654,0.15683220857126373,1.1792621485454249,-0.7357815355879794
Aequs Limited,AEQUS,0.2033898305084746,-0.8410987319882158,-0.3947289593347958,-0.3333333333333333,0.16118776054055792,-0.6971812782695966,-0.9912023563726999,-2.108101532722407,-1.4672313483915127,1.0204054972043688,-0.36621099382822864,-0.47196489517308626,-0.22443712017304135
Aeroflex Industries Limited,AEROFLEX,1.2881355932203389,-0.959216520558391,1.466258988378653,0.3333333333333333,-0.08194063593148387,-0.0679620432033761,0.6527136250500476,0.19649663449841848,0.23078370978781648,-0.34409782097507435,0.7388244794370422,-0.19892735251097027,-0.6459515894889297
