COMPANY NAME,Symbol,Company_Age,Log_Issue_Price,Range_Width_pct,Days_to_List,Revenue_CAGR,PAT_CAGR,Avg_Operating_Margin,Avg_ROE_pct,Avg_ROCE_pct,Avg_DE_pct,Avg_Interest_Coverage,Avg_Assets_Turnover,Log_Latest_Revenue,Ind_Financial Services,Ind_Healthcare & Pharmaceuticals,Ind_Industrial Manufacturing & Capital Goods,Ind_Information Technology & Digital Platforms,"Ind_Infrastructure, Construction & Utilities","Ind_Materials, Energy & Commodities"
ACME Solar Holdings Limited,ACMESOLAR,-0.8135593220338984,-0.11534080602600652,-0.3802402988422207,-0.3333333333333333,-0.44898372211159643,0.848717445122769,3.4702770769872324,-0.5236396074933096,-0.8412217659137577,3.6997962063019294,-0.2829209205744938,-1.0102389078498295,0.2560829209333979,0.0,0.0,0.0,0.0,1.0,0.0
AGS Transact Technologies Limited,AGSTRA,0.06779661016949153,-0.5460150110370555,0.3948616413379159,1.3333333333333333,-0.8736188556627961,-0.4419134162990859,-0.311631347246388,-2.0027302462628067,-0.6006103125712983,1.7663252686767346,-0.30787717982734414,-0.19546020911208642,-0.1136744439381617,1.0,0.0,0.0,0.0,0.0,0.0
ASK Automotive Limited,ASKAUTOLTD,1.0169491525423728,-0.13641243031635078,-0.06806618127871984,0.0,-0.07013628768484294,-0.11516788000309493,-0.2883090405780393,0.5249371502716728,0.08198151950718681,-0.005565135601191343,0.32352771529099617,1.2546725174711526,0.6312134467967435,0.0,0.0,1.0,0.0,0.0,0.0
Aadhar Housing Finance Limited,AADHARHFC,0.8813559322033898,-0.04129500997858227,-0.5941205251612282,-0.3333333333333333,-0.03387788586777898,-0.000255811502483561,4.40369582936098,-0.04841456491768724,1.3805441478439429,3.45106338506558,-0.24046836246178685,-0.9738339021615474,0.5369444375945174,1.0,0.0,0.0,0.0,0.0,0.0
Adani Wilmar Limited,AWL,0.2711864406779661,-0.31150248166656325,0.588358152174698,0.6666666666666666,-0.655094808906323,-0.3736705147752936,-0.6614603317418225,-0.5954910388451871,-0.1619609856262832,0.17805821184093648,-0.20678318048105204,2.437835202340322,2.7329532977362594,0.0,0.0,0.0,0.0,0.0,0.0
Aditya Birla Sun Life AMC Limited,ABSLAMC,0.6101694915254238,0.6604643849593631,-6.757896317071295,1.3333333333333333,-0.5779185146036915,-0.3071082839947501,3.4921424442249096,0.818992782418295,0.8977241615331966,-0.552359303966139,7.586722039568553,-0.5707784820412808,0.11288614336104733,1.0,0.0,0.0,0.0,0.0,0.0
Aditya Infotech Limited,CPPLUS,0.5423728813559322,0.614509125596761,0.5047485487267043,-0.3333333333333333,0.24059579552415844,0.2817958697123131,-0.2577065006282063,1.172248803827751,1.0945756331279946,0.48275591785546335,0.15348676241564294,0.5317731188038359,0.6376587052432536,0.0,0.0,0.0,1.0,0.0,0.0
Advance Agrolife Limited,ADVANCE,0.06779661016949153,-1.024954129565673,0.023993328900743828,-0.3333333333333333,0.2522954794869686,0.26961384523292464,-0.3515922178130817,0.7704971210769602,0.9713723477070502,0.14370068453780646,0.15683220857126373,1.1792621485454253,-0.7357815355879794,0.0,0.0,0.0,0.0,0.0,1.0
Aequs Limited,AEQUS,0.2033898305084746,-0.8410987319882166,-0.3947289593347958,-0.3333333333333333,0.16118776054055803,-0.6971812782695966,-0.9912023563726997,-2.1081015327224075,-1.4672313483915127,1.0204054972043688,-0.36621099382822864,-0.4719648951730864,-0.22443712017304068,0.0,0.0,1.0,0.0,0.0,0.0
Aeroflex Industries Limited,AEROFLEX,1.2881355932203389,-0.9592165205583902,1.466258988378653,0.3333333333333333,-0.08194063593148372,-0.06796204320337604,0.6527136250500474,0.19649663449841834,0.23078370978781673,-0.3440978209750744,0.7388244794370422,-0.19892735251097032,-0.6459515894889303,0.0,0.0,1.0,0.0,0.0,0.0
